index_character,index_world,name,poster,hero,url,group,Unnamed: 8,url_info,description,index
79,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,SCARLET COMMANDER,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/SCARLET%20COMMANDER.jpg,Игры,,,,82
80,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,NEURALYNX,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/NEURALYNX.jpg,Игры,,,,83
81,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,JONESY THE FIRST,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/JONESY%20THE%20FIRST.jpg,Игры,,,,84
82,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,CHAMPIONSHIP AURA,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/CHAMPIONSHIP%20AURA.jpg,Игры,,,,85
83,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,FOCUS,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/FOCUS.jpg,Игры,,,,86
84,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,DARK BOMBER,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/DARK%20BOMBER.jpg,Игры,,,,87
85,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,OMEGAROK,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/OMEGAROK.jpg,Игры,,,,88
86,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,HEARTBREAK RANGER,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/HEARTBREAK%20RANGER.jpg,Игры,,,,89
87,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,TONY STARK,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/TONY%20STARK.jpg,Игры,,,,90
88,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,VI,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/VI.jpg,Игры,,,,91
89,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,SURF WITCH,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/SURF%20WITCH.jpg,Игры,,,,92
90,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,DARK VOYAGER,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/DARK%20VOYAGER.jpg,Игры,,,,93
91,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,MONTAGUE,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/MONTAGUE.jpg,Игры,,,,94
92,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,GOKU BLACK,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/GOKU%20BLACK.jpg,Игры,,,,95
93,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,ROGUE AGENT,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/ROGUE%20AGENT.jpg,Игры,,,,96
94,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,DOOM SLAYER,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/DOOM%20SLAYER.jpg,Игры,,,,97
95,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,REBIRTH HARLEY QUINN,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/REBIRTH%20HARLEY%20QUINN.jpg,Игры,,,,98
96,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,SPARKLE SPECIALIST,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/SPARKLE%20SPECIALIST.jpg,Игры,,,,99
97,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,P33LY,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/P33LY.jpg,Игры,,,,100
98,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,PURRADISE MEOWSCLES,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/PURRADISE%20MEOWSCLES.jpg,Игры,,,,101
99,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,RAPTOR,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/RAPTOR.jpg,Игры,,,,102
100,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,HIGHWIRE,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/HIGHWIRE.jpg,Игры,,,,103
101,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,RUST LORD,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/RUST%20LORD.jpg,Игры,,,,104
102,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,SPIDER-MAN (NO WAY HOME),https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/SPIDER-MAN%20(NO%20WAY%20HOME).jpg,Игры,,,,105
103,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,KUNO,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/KUNO.jpg,Игры,,,,106
104,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,OMEGA KNIGHT,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/OMEGA%20KNIGHT.jpg,Игры,,,,107
105,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,INFERNO,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/INFERNO.jpg,Игры,,,,108
106,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,BREAKPOINT,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/BREAKPOINT.jpg,Игры,,,,109
107,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,SON GOKU,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/SON%20GOKU.jpg,Игры,,,,110
108,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,COMBAT TECH JULES,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/COMBAT%20TECH%20JULES.jpg,Игры,,,,111
109,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,CIRI,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/CIRI.jpg,Игры,,,,112
110,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,SPIDER-MAN 2099,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/SPIDER-MAN%202099.jpg,Игры,,,,113
111,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,FROSTBITE,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/FROSTBITE.jpg,Игры,,,,114
112,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,MARSHALL NEVER MORE,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/MARSHALL%20NEVER%20MORE.jpg,Игры,,,,115
113,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,SPARKPLUG,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/SPARKPLUG.jpg,Игры,,,,116
