index_character,hero,url,index,index_world
30,Нобара Кугисаки,https://i.pinimg.com/originals/ac/ad/b4/acadb4ce2711f2bd231185fef199a0e8.jpg,2218,3
31,Норитоси Камо,https://i.pinimg.com/originals/f4/b3/22/f4b32249d69255abb039b4a6c4de21dc.jpg,2219,3
32,Огами,https://i.pinimg.com/736x/c9/82/62/c982628278654be568014177cd899bfe.jpg,2220,3
33,Одуол Мигель,https://i.pinimg.com/originals/65/53/6c/65536c8df86ef0da77ae7e5a371ed93d.jpg,2221,3
61,Юки Цукумо,https://i.pinimg.com/originals/34/a5/7a/34a57ae44d0e5fe0aa3fc4e3779579f8.jpg,2249,3
60,Юдзи Итадори,https://i.pinimg.com/736x/c3/ec/26/c3ec261b725c1ab8d7d4f4a4d36fb52a.jpg,2248,3
59,Эсо,https://i.pinimg.com/originals/23/c5/65/23c56552d1b8e845d02990bf69678d4d.jpg,2247,3
58,Чосо,https://i.pinimg.com/originals/18/69/2f/18692f5f32c5fa07b6f4d9772a00a9e8.jpg,2246,3
57,Цумики Фусигуро,https://i.pinimg.com/1200x/7d/94/16/7d9416b94214bdc730ed2823e6c1ff52.jpg,2245,3
56,Хироми Хигурума,https://i.pinimg.com/1200x/a2/f5/43/a2f5431f0f3195ee45cce6fbef3168f8.jpg,2244,3
55,Харута Сигэмо,https://i.pinimg.com/736x/2e/cd/24/2ecd24db4b4ce55fc754a0945365df5f.jpg,2243,3
54,Ханами,https://i.pinimg.com/1200x/05/10/15/05101523ec4487e4493744ea87c5f5fe.jpg,2242,3
53,Фумихико Такаба,https://i.pinimg.com/736x/3f/e2/58/3fe258e51d38143fa6c2410555871d80.jpg,2241,3
52,Фуми,https://i.pinimg.com/736x/ff/6c/e6/ff6ce686c984ae636790908a5f6094c5.jpg,2240,3
51,Утахимэ Иори,https://i.pinimg.com/originals/44/23/bf/4423bf94e7b0a47fc4543236b8297a10.jpg,2239,3
50,Ураумэ,https://i.pinimg.com/736x/c1/a1/60/c1a160bc53ea9511ce4aeb4f98b03913.jpg,2238,3
49,Уй Уй,https://i.pinimg.com/1200x/65/f8/41/65f8411db9f4b33540f2213ee2a2c988.jpg,2237,3
1,Ёсинобу Гакугандзи,https://i.pinimg.com/originals/ff/61/cb/ff61cbe045be2108c888e0107def843c.jpg,2192,3
48,Тодзи Фусигуро,https://i.pinimg.com/736x/a2/e3/5f/a2e35f521767c5290c598e0240310026.jpg,2236,3
46,Тенген,https://i.pinimg.com/originals/c8/02/2b/c8022b32454a2e4cd2544869a25ae09e.jpg,2234,3
45,Такума Ино,https://i.pinimg.com/originals/31/83/db/3183dba086174f78cc0e020b81546ec1.jpg,2233,3
44,Сукуна Рёмен,https://i.pinimg.com/originals/ab/ec/d7/abecd7f4844af6d77feb76da926850e7.jpg,2232,3
43,Сугуру Гето,https://i.pinimg.com/originals/f5/96/db/f596dbdd42c0b481373621af59ed7a1e.jpg,2231,3
42,Сатору Годжо,https://i.pinimg.com/736x/17/41/0e/17410e30c55987fd8171aa866f47ca3c.jpg,2230,3
41,Саори,https://i.pinimg.com/736x/26/27/a5/2627a56d170977d960a5a018ca5e4882.jpg,2229,3
40,Сёко Иэйри,https://i.pinimg.com/originals/aa/a1/13/aaa1139d4dbe82fe611be4d627b18d40.jpg,2228,3
39,Рин Амаи,https://i.pinimg.com/736x/9e/bc/a6/9ebca67d0dd92a0907b0cd0509a924a7.jpg,2227,3
38,Рико Аманай,https://i.pinimg.com/originals/8f/35/46/8f3546db00229ae0d73765d4c5a5e4e1.jpg,2226,3
37,Рика Оримото,https://i.pinimg.com/originals/c1/5c/4f/c15c4f8b62b817f1cac8951a0d64ce2d.jpg,2225,3
36,Рента Зенин,https://i.pinimg.com/1200x/18/8b/5e/188b5e292c54970ceaf8dfeb4c01aef7.jpg,2224,3
35,Реджи Стар,https://i.pinimg.com/736x/8d/a4/14/8da414a2aab0a306a7dff81ab792706c.jpg,2223,3
34,Панда,https://i.pinimg.com/originals/ac/58/3a/ac583ab800d733cc5c58d00c7ed2201c.jpg,2222,3
47,Тогэ Инумаки,https://i.pinimg.com/1200x/07/25/73/072573f259d24e64a52a34b93a1560b5.jpg,2235,3
62,Юта Оккоцу,https://i.pinimg.com/originals/58/b8/0f/58b80f2fb78ea5a4c181af263c257979.jpg,2250,3
63,Юу Хайбара,https://i.pinimg.com/1200x/d8/49/a1/d849a1c2c55e2f720a3cf6449666af25.jpg,2251,3
64,MIDSUMMER MIDAS,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/MIDSUMMER%20MIDAS.jpg,67,4
191,HAVOC,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/HAVOC.jpg,194,4
192,TOON MEOWSCLES,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/TOON%20MEOWSCLES.jpg,195,4
193,LEELAH,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/LEELAH.jpg,196,4
194,THE VISITOR,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/THE%20VISITOR.jpg,197,4
195,HONOR GUARD,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/HONOR%20GUARD.jpg,198,4
196,FUSION,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/FUSION.jpg,199,4
197,RAGNAROK,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/RAGNAROK.jpg,200,4
198,FROZEN RAVEN,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/FROZEN%20RAVEN.jpg,201,4
199,ICEBOUND MIDAS,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/ICEBOUND%20MIDAS.jpg,202,4
200,X-LORD,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/X-LORD.jpg,203,4
60,ELITE AGENT,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/ELITE%20AGENT.jpg,63,4
62,BRITE BOMBER,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/BRITE%20BOMBER.jpg,65,4
1,LARA CROFT,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/LARA%20CROFT.jpg,4,4
2,SUMMITSEEKER EVIE,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/SUMMITSEEKER%20EVIE.jpg,5,4
3,HOPE,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/HOPE.jpg,6,4
4,JOHN WICK,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/JOHN%20WICK.jpg,7,4
5,SKULL TROOPER,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/SKULL%20TROOPER.jpg,8,4
6,LOVELY,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/LOVELY.jpg,9,4
7,TRAVIS SCOTT,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/TRAVIS%20SCOTT.jpg,10,4
8,BLACK KNIGHT,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/BLACK%20KNIGHT.jpg,11,4
9,MICHELANGELO,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/MICHELANGELO.jpg,12,4
190,WONDER,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/WONDER.jpg,193,4
10,NOG OPS,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/NOG%20OPS.jpg,13,4
189,OPTIMUS PRIME,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/OPTIMUS%20PRIME.jpg,192,4
187,SAKURA,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/SAKURA.jpg,190,4
166,HELSIE,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/HELSIE.jpg,169,4
167,DOUBLE AGENT WILDCARD,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/DOUBLE%20AGENT%20WILDCARD.jpg,170,4
168,DIRE,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/DIRE.jpg,171,4
169,INCINERATOR KUNO,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/INCINERATOR%20KUNO.jpg,172,4
170,PERFECT SHADOW,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/PERFECT%20SHADOW.jpg,173,4
171,EZIO AUDITORE,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/EZIO%20AUDITORE.jpg,174,4
172,REBIRTH RAVEN,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/REBIRTH%20RAVEN.jpg,175,4
173,DARK RED KNIGHT,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/DARK%20RED%20KNIGHT.jpg,176,4
174,MODENA ICON,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/MODENA%20ICON.jpg,177,4
175,DOUBLE AGENT HUSH,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/DOUBLE%20AGENT%20HUSH.jpg,178,4
176,PAR PATROLLER,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/PAR%20PATROLLER.jpg,179,4
177,SLAYER CHARLOTTE,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/SLAYER%20CHARLOTTE.jpg,180,4
178,ROAST LORD,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/ROAST%20LORD.jpg,181,4
179,TORIN,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/TORIN.jpg,182,4
180,8-BALL VS SCRATCH,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/8-BALL%20VS%20SCRATCH.jpg,183,4
181,RENZO THE DESTROYER,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/RENZO%20THE%20DESTROYER.jpg,184,4
182,BRILLIANT BOMBER,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/BRILLIANT%20BOMBER.jpg,185,4
183,ITACHI UCHIHA,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/ITACHI%20UCHIHA.jpg,186,4
184,PIPER PACE,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/PIPER%20PACE.jpg,187,4
185,VERONIKA,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/VERONIKA.jpg,188,4
186,SUN STRIDER,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/SUN%20STRIDER.jpg,189,4
188,SKULL RANGER,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/SKULL%20RANGER.jpg,191,4
11,RED KNIGHT,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/RED%20KNIGHT.jpg,14,4
12,MEOWSCLES,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/MEOWSCLES.jpg,15,4
13,CHUN-LI,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/CHUN-LI.jpg,16,4
39,EXPLORER EMILIE,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/EXPLORER%20EMILIE.jpg,42,4
40,GUNSLINGER CALAMITY,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/GUNSLINGER%20CALAMITY.jpg,43,4
41,MIDAS,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/MIDAS.jpg,44,4
42,VALERIA,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/VALERIA.jpg,45,4
43,VENGEANCE JONES,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/VENGEANCE%20JONES.jpg,46,4
44,WILD CARD,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/WILD%20CARD.jpg,47,4
45,RAVEN,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/RAVEN.jpg,48,4
46,CHAOS AGENT,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/CHAOS%20AGENT.jpg,49,4
47,GALAXY,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/GALAXY.jpg,50,4
48,HARLEY QUINN,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/HARLEY%20QUINN.jpg,51,4
49,CAPER,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/CAPER.jpg,52,4
50,MERRY MARAUDER,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/MERRY%20MARAUDER.jpg,53,4
51,MASTER CHIEF,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/MASTER%20CHIEF.jpg,54,4
52,RENEGADE LYNX,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/RENEGADE%20LYNX.jpg,55,4
53,SLIM SHADY,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/SLIM%20SHADY.jpg,56,4
54,CALAMITY,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/CALAMITY.jpg,57,4
55,THE REAPER,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/THE%20REAPER.jpg,58,4
56,AGENT PEELY,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/AGENT%20PEELY.jpg,59,4
57,POLO PRODIGY,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/POLO%20PRODIGY.jpg,60,4
58,THE ICE KING,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/THE%20ICE%20KING.jpg,61,4
59,KRATOS,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/KRATOS.jpg,62,4
38,SPIDER-MAN,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/SPIDER-MAN.jpg,41,4
37,REVERIE,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/REVERIE.jpg,40,4
36,PSYCHO BANDIT,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/PSYCHO%20BANDIT.jpg,39,4
35,SPIDER-GWEN,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/SPIDER-GWEN.jpg,38,4
14,RENEGADE RAIDER,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/RENEGADE%20RAIDER.jpg,17,4
15,DRIFT,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/DRIFT.jpg,18,4
16,SPECTRA KNIGHT,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/SPECTRA%20KNIGHT.jpg,19,4
17,GHOUL TROOPER,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/GHOUL%20TROOPER.jpg,20,4
18,RAPHAEL,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/RAPHAEL.jpg,21,4
19,HANGTIME,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/HANGTIME.jpg,22,4
20,FISHSTICK,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/FISHSTICK.jpg,23,4
21,RAVEN TEAM LEADER,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/RAVEN%20TEAM%20LEADER.jpg,24,4
22,MICHAEL MYERS,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/MICHAEL%20MYERS.jpg,25,4
23,OMEGA,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/OMEGA.jpg,26,4
165,KAKASHI HATAKE,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/KAKASHI%20HATAKE.jpg,168,4
24,WINTERFEST BUSHRANGER,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/WINTERFEST%20BUSHRANGER.jpg,27,4
26,LEONARDO,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/LEONARDO.jpg,29,4
27,IKONIK,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/IKONIK.jpg,30,4
28,PEELY,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/PEELY.jpg,31,4
29,DONATELLO,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/DONATELLO.jpg,32,4
30,JACK SKELLINGTON,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/JACK%20SKELLINGTON.jpg,33,4
31,MOGUL MASTER,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/MOGUL%20MASTER.jpg,34,4
32,ERA,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/ERA.jpg,35,4
63,MARSHMELLO,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/MARSHMELLO.jpg,66,4
33,BLACK WIDOW OUTFIT,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/BLACK%20WIDOW%20OUTFIT.jpg,36,4
34,SHADOW MIDAS,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/SHADOW%20MIDAS.jpg,37,4
25,SOLID SNAKE,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/SOLID%20SNAKE.jpg,28,4
164,DEMI,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/DEMI.jpg,167,4
61,KIT,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/KIT.jpg,64,4
162,CARNAGE,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/CARNAGE.jpg,165,4
98,PURRADISE MEOWSCLES,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/PURRADISE%20MEOWSCLES.jpg,101,4
99,RAPTOR,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/RAPTOR.jpg,102,4
100,HIGHWIRE,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/HIGHWIRE.jpg,103,4
101,RUST LORD,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/RUST%20LORD.jpg,104,4
102,SPIDER-MAN (NO WAY HOME),https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/SPIDER-MAN%20(NO%20WAY%20HOME).jpg,105,4
103,KUNO,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/KUNO.jpg,106,4
104,OMEGA KNIGHT,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/OMEGA%20KNIGHT.jpg,107,4
105,INFERNO,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/INFERNO.jpg,108,4
106,BREAKPOINT,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/BREAKPOINT.jpg,109,4
107,SON GOKU,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/SON%20GOKU.jpg,110,4
108,COMBAT TECH JULES,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/COMBAT%20TECH%20JULES.jpg,111,4
109,CIRI,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/CIRI.jpg,112,4
110,SPIDER-MAN 2099,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/SPIDER-MAN%202099.jpg,113,4
97,P33LY,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/P33LY.jpg,100,4
111,FROSTBITE,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/FROSTBITE.jpg,114,4
113,SPARKPLUG,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/SPARKPLUG.jpg,116,4
114,OSCAR,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/OSCAR.jpg,117,4
115,SKULLDRIFTER,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/SKULLDRIFTER.jpg,118,4
116,CAMMY,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/CAMMY.jpg,119,4
117,TRICKSY,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/TRICKSY.jpg,120,4
118,MIZUKI,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/MIZUKI.jpg,121,4
119,SKELETARA,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/SKELETARA.jpg,122,4
120,GLOW,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/GLOW.jpg,123,4
121,BEEF BOSS,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/BEEF%20BOSS.jpg,124,4
122,SIREN,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/SIREN.jpg,125,4
123,WILDCAT,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/WILDCAT.jpg,126,4
124,ARCTIC ASSASSIN,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/ARCTIC%20ASSASSIN.jpg,127,4
125,JULES,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/JULES.jpg,128,4
112,MARSHALL NEVER MORE,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/MARSHALL%20NEVER%20MORE.jpg,115,4
163,ANTONIA,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/ANTONIA.jpg,166,4
96,SPARKLE SPECIALIST,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/SPARKLE%20SPECIALIST.jpg,99,4
94,DOOM SLAYER,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/DOOM%20SLAYER.jpg,97,4
67,LYNX,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/LYNX.jpg,70,4
68,ASTRO JACK,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/ASTRO%20JACK.jpg,71,4
69,GALAXIA,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/GALAXIA.jpg,72,4
70,DARTH VADER,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/DARTH%20VADER.jpg,73,4
71,BEACH JULES,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/BEACH%20JULES.jpg,74,4
72,MARIGOLD,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/MARIGOLD.jpg,75,4
73,EVIE,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/EVIE.jpg,76,4
74,DUMMY,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/DUMMY.jpg,77,4
75,CHARLOTTE,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/CHARLOTTE.jpg,78,4
76,THE FOUNDATION,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/THE%20FOUNDATION.jpg,79,4
77,RUBY,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/RUBY.jpg,80,4
78,STRAY,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/STRAY.jpg,81,4
79,SCARLET COMMANDER,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/SCARLET%20COMMANDER.jpg,82,4
95,REBIRTH HARLEY QUINN,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/REBIRTH%20HARLEY%20QUINN.jpg,98,4
80,NEURALYNX,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/NEURALYNX.jpg,83,4
82,CHAMPIONSHIP AURA,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/CHAMPIONSHIP%20AURA.jpg,85,4
83,FOCUS,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/FOCUS.jpg,86,4
84,DARK BOMBER,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/DARK%20BOMBER.jpg,87,4
126,AGENT JONES,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/AGENT%20JONES.jpg,129,4
85,OMEGAROK,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/OMEGAROK.jpg,88,4
86,HEARTBREAK RANGER,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/HEARTBREAK%20RANGER.jpg,89,4
87,TONY STARK,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/TONY%20STARK.jpg,90,4
88,VI,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/VI.jpg,91,4
89,SURF WITCH,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/SURF%20WITCH.jpg,92,4
